Joystick Jack;z herného rozhrania vykročil. Z animovaného sveta savynoril;Svetelný Šíp;Futuristickú Kuklu;Vírivý Vír;Virtuálny svet nás posilnil a my sme sa stalineporaziteľnými;Naša cesta za herným vítazstvom sa skončilaneúspechom;V zničenom autobuse sa nachádza opísaný pergamen s pôvodným vyhlásením mesta.
Questing Quincey;z pestrýchfarebných obrazoviek vystúpil;Hromový Kyj;Magickú Kuklu;Kúzelné Zrkadlo;Napriek všetkýmprekážkam sme sa stali neprekonateľnými;Virtuálna realita nám nedovolila dosiahnuť naše ciele;V rozbitom stroji našiel siamske dvojičky kríženého meča a kladiva.
QuestingQiana;z animovaných území vystúpil;Fúzovú Kanónu;Pixelový Štít;Modrú Fľašu;Digitálny priestoruznanlivo priznal naše úspechy;V našej dobrodružnej hre sme utrpeli neúspech;V zvyškoch zničeného auta objavil kartu s neviditeľným podpisom.
Pixel Parker;z herného simulátora sa vynoril;Továrenské Torzo;Virtuálnu Kuklu;Slávnostný Svietnik;Naša účasť v hernom súboji nám priniesla slávu;Neúspech nás stretol v našom digitálnom dobrodružstve;V troskách vyhorenej chatrče objavil antický amulet s magickými runami.
DigitalDamian;zdigitálneho obrazu vystúpil;Vesmírny Bič;Kristálový Štít;Rubínový Prameň;Naša epická misia v digitálnom svete dosiahla úspech;Po dlhom boji sme sa muselivzdať v našej virtuálnej výzve;Na poľom zasiatej troske sa nachádza zlatá minca s tajomným reliéfom.
Controller Cody;z kódového sveta sa vynoril;Bleskovú Päsť;Zlatú Kuklu;Sféru Víly;V digitálnom dobrodružstve sme konečnedosiahli víťazstvo;Zápas o virtuálne víťazstvo saskončil pre nás katastrofou;V pohroma postihnutom meste si našiel hodvábny závoj so schovanými inškripciami.
Arcade Archer;Z herného sveta vystúpil;Temný Bič;Oceánový Štít;Fialový Kameň;Naša cesta za herným vítazstvom sa stala realitou;Naši súperníci nás prevýšili a my sme museli uznať prehru;V rozvalinách výbuchu nájdeš zvláštne kvetinové semienko, ktoré rýchlo klíči.
ConsoleCameron;z virtuálneho sveta sa ukázal;Hromovú Päsť;Neónovú Túniku;Perlový Náhrdelník;Zápas o virtuálne víťazstvo sme vyhrali sprehľadom;Naša misia v digitálnom svete skončila neúspechom;V poľom po bitke leží špeciálna poháreň, ktorá dáva svojmu vlastníkovi nevyčerpateľnú silu.
Button Buddy;z virtuálnej dimenzie sa vynoril;Víchricový Kyj;Prastarý Štít;Slniečkovú Paličku;Virtuálna realita nás ocenila anaše úsilie bolo korunované úspechom;Naša cesta cez herný svet skončila nezdarem;V zničenom bunkri našiel kryštálovú guľu s videním budúcnosti.
Joystick Jules;tichým pohybom saprezentoval;Dračí Bič;Nebeskú Túniku;Čarovný Kľúč;Po neúnavnom boji sme sa vnašej virtuálnej výzve triumfálne presadili;Napriek našim snahám smesa ocitli na ceste porazených;V zrúcanine historického hradu našiel starovekú mapu s pokladmi.
Console Craig;z interaktívneho rozhrania vystúpil;Víchricový Obelisk;Oceánovú Kuklu;Krištáľovú Guličku;Naša úžasná výkonnosť v hernom svete nám prinieslatriumf;Naša snahaovládnuť virtuálny priestor bola neúspešná;V zosadnutej veži si našiel prastarý zvoncek s magickým hlasom.
Controller Kate;z animovaného digitálneho sveta sa ukázal;Svetelnú Palicu;Krvavú Kuklu;Strieborný Prívesok;Naša cesta cez herný svet bola ozdobená triumfom;Digitálny priestor nám odmietol priznať úspech;V zničenom skladovom priestore si našiel zvláštne zrkadlo, ktoré reflektuje minulosť.
Retro Ralph;z pixelového vesmíru sa vynoril;Krvavú Katana;Zlatú Túniku;Kameň Smútku;Naša ambícia vo virtuálnom prostredí bola naplnená;Naša ambícia vo virtuálnomprostredí utrpela vážne poškodenie;V zničenom laboratóriu našiel útržok pergamenového zvitku s alchymistickými vzorcami.
Console Casey;z digitálnej oblohy vystúpil;Démonov Tresk;Stínovú Túniku;Dáždnik Šťastia;Naši súpernícimuseli uznať našu prevahu;Virtuálnysvet nás porazil v našom úsilí;V zdevastovanej kostole sa nachádza svätožiar, ktorý záhadne svieti.
Pixel Pete;z interaktívneho priestoru vykročil;Démonov Rapier;Hromový Štít;Oranžový Oráčik;Sme hrdí na našu dominanciu v digitálnom svete;Sme sklamaní z našej nedostatočnejvýkonnosti v hernom svete;V ruínach vybuchnutej budovy si našiel starodávnu knihu s kúzelnými formulami.
Questing Quinn;z virtuálneho prostredia vyšiel;Oceánovú Ružu;Magickú Túniku;Tmavú Lampu;;Sme nútení uznať neúspech v našej snahe odigitálnu dominanciu;
Joystick Jocelyn;z herného vesmíru sa vynoril;Pekelný Bič;Virtuálny Štít;Zelený Amulet;;V digitálnom dobrodružstve sme nedokázali dosiahnuťvíťazstvo;
Game Guru Grace;z programového kóduvyšiel;Mystickú Dagónu;Robotický Plášť;Zlatú Truhlicu;;Naša účasť v hernom súboji nedopadla podľa našichočakávaní;
Questing Quentin;z virtuálnejrealitnej dimenzie vyšiel;Mrazivú Katana;Kúzelnícky Plášť;Kúzelnú Harfu;;;
Digital Devin;;Vesmírnu Palicu;Kristálovú Kuklu;Ružovú Ružu;;;
Pixel Percy;;Krvavú Sekyru;Prastarý Pancier;;;;
Gamepad Gary;;Oheň a Voda;Démonov Štít;;;;
Questing Quincy;;Zemský Obelisk;Neviditeľný Štít;;;;
JoystickJoe;;Mrazivý Bič;Svetelnú Túniku;;;;
Pixel Pegasus;;Krvavý Oblúk;Nebeský Štít;;;;
RetroRosie;;Vesmírnu Ružu;Futuristický Štít;;;;
Gamepad Gracie;;Žeravú Zbroj;Virtuálny Plášť;;;;
Joystick Jimmy;;Bleskovú Dýku;Pixelovú Kuklu;;;;
Pixel Penny;;Hromový Bič;Temnú Túniku;;;;
Pixel Prince;;Orkánovú Palicu;Oceánový Plášť;;;;
Pixel Prowler;;Pekelný Oblúk;Svetelný Plášť;;;;
Game Guru Gabe;;Dračiu Palicu;Zlatý Štít;;;;
Digital Dwayne;;Slnečný Šíp;Dračiu Túniku;;;;
Pixel Paladin;;Nočnú Dýku;Prastarý Plášť;;;;
Virtual Vivian;;Nebeský Hnev;Dračí Štít;;;;
Gamepad Greta;;Svetelný Oblúk;Technologickú Kuklu;;;;
ArcadeAlex;;Víchricový Rapier;Hromovú Kuklu;;;;
Digital Dana;;Tajomnú Hrotovku;Technologický Pancier;;;;
Quest Master Quincy;;Magický Oblúk;Kristálový Plášť;;;;
Questing Queenie;;Drakonický Štít;Magický Pancier;;;;
Console Conner;;Oheň a Ľad;Robotickú Kuklu;;;;
Virtual Vince;;Svetelný Bič;Technologický Štít;;;;
ArcadeAndy;;Praskajúcu Katana;Stínový Štít;;;;
Button Bethany;;Krvavý Rýč;Démonický Plášť;;;;
Joystick Jamie;;Bleskovú Palicu;Futuristickú Túniku;;;;
Questing Quinlan;;Vesmírny Kyj;Krvavý Štít;;;;
Gamepad Gavin;;Dračie Kladivo;Pixelovú Túniku;;;;
Gamepad Gina;;Nočný Bič;;;;;
Controller Corey;;Energetickú Päsť;;;;;
Console Carl;;Žiarivý Rapier;;;;;
Gamepad Gabrielle;;Plameňovú Päsť;;;;;
Virtual Vicky;;Temnú Ružu;;;;;
Retro Ronnie;;Chaosový Rapier;;;;;
Button Bob;;Démonov Šíp;;;;;
Console Crystal;;Chaosovú Katana;;;;;
Joystick Jasmine;;Dážďovú Dýku;;;;;
Virtual Vanessa;;Démonov Krúžok;;;;;
Quest Master Max;;Pekelnú Katana;;;;;
Retro Ruby;;Ohnivú Dýku;;;;;
Pixelina;;Svetelnú Katana;;;;;
Digital Dora;;;;;;;
Pixel Penelope;;;;;;;
DigitalDiva;;;;;;;
Console Cassie;;;;;;;
Virtual Victor;;;;;;;
Virtual Violet;;;;;;;
Console Cody;;;;;;;
GamepadGeorge;;;;;;;
ArcadeAnnie;;;;;;;
Joystick Jesse;;;;;;;
Game Guru Gideon;;;;;;;
Game Guru Greg;;;;;;;
Arcade Amelia;;;;;;;
Joystick Jane;;;;;;;
Arcade Adam;;;;;;;
Pixel Pixie;;;;;;;
Console Clara;;;;;;;
Controller Carly;;;;;;;
Arcade Ava;;;;;;;
Button Bianca;;;;;;;
Pixel Pablo;;;;;;;
Virtual Valerie;;;;;;;
Arcade Aaron;;;;;;;
Game GuruGwen;;;;;;;
Controller Chloe;;;;;;;
Console Cindy;;;;;;;
Game Over Gary;;;;;;;
Retro Robbie;;;;;;;
Button Bonnie;;;;;;;
Virtual Vera;;;;;;;
;;;;;;;
